Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4186.9228515625,4217.5639648438,4126.9228515625,5833.2050781250,4351.9228515625,4258.7177734375,4216.6665039063,4069.4870605469,3465.0000000000,2768.4614257813,4016.0256347656,3049.3588867188,3778.5898437500,3558.3332519531,,,
0.0078125000,0,4187.5639648438,4214.3588867188,4110.6411132813,5917.4360351563,4345.8974609375,4259.7436523438,4214.8715820313,4065.8974609375,3462.0512695313,2775.3845214844,4029.7436523438,2932.1794433594,3792.6923828125,3555.5129394531,,,
0.0156250000,0,4194.4873046875,4211.9228515625,4113.7177734375,5620.3847656250,4354.7436523438,4259.3588867188,4216.0258789063,4066.1538085938,3467.5642089844,2783.4614257813,4006.9230957031,3203.5898437500,3791.4101562500,3558.2050781250,,,
0.0234375000,0,4201.0258789063,4214.4873046875,4121.0258789063,4803.9741210938,4398.2050781250,4261.0258789063,4216.7949218750,4069.8718261719,3474.6154785156,2783.7180175781,3923.8461914063,4040.3845214844,3788.3332519531,3566.7949218750,,,
0.0312500000,0,4199.4873046875,4217.1796875000,4130.3847656250,4324.6152343750,4430.2563476563,4262.9487304688,4215.5126953125,4071.9230957031,3474.8718261719,2791.7949218750,3864.1025390625,4550.1284179688,3787.3076171875,3571.6667480469,,,
0.0390625000,0,4197.0512695313,4215.5126953125,4142.4360351563,4345.0000000000,4429.1025390625,4260.6411132813,4215.6411132813,4071.7949218750,3476.2819824219,2803.0769042969,3857.5642089844,4540.1284179688,3777.4357910156,3567.9487304688,,,
0.0468750000,0,4197.9487304688,4218.5898437500,4131.1538085938,4318.5898437500,4430.2563476563,4260.5126953125,4216.0258789063,4071.5385742188,3480.1281738281,2802.0512695313,3850.0000000000,4557.1796875000,3790.0000000000,3564.6154785156,,,
0.0546875000,0,4196.4101562500,4223.0771484375,4126.1538085938,4278.2050781250,4437.6923828125,4260.0000000000,4211.9228515625,4072.0512695313,3482.8205566406,2807.0512695313,3841.1538085938,4599.8715820313,3794.2307128906,3564.1025390625,,,
0.0625000000,0,4195.3847656250,4224.3588867188,4162.4360351563,4375.8974609375,4438.5898437500,4256.6665039063,4210.1284179688,4074.6154785156,3488.0769042969,2820.0000000000,3856.1538085938,4500.3847656250,3755.1281738281,3563.7180175781,,,
0.0703125000,0,4196.6665039063,4223.8461914063,4178.8461914063,4466.7949218750,4435.8974609375,4256.6665039063,4210.8974609375,4075.1281738281,3493.8461914063,2820.2563476563,3867.3076171875,4413.4614257813,3740.6411132813,3562.8205566406,,,
0.0781250000,0,4198.0771484375,4226.0258789063,4149.2309570313,4571.2822265625,4439.4873046875,4259.1025390625,4213.5898437500,4074.8718261719,3492.8205566406,2821.4101562500,3859.7436523438,4302.1796875000,3779.1025390625,3560.1281738281,,,
